image,brand,confidence_brands,body_style,confidence_body_styles
"88,000+_Images_of_Cars_24883.jpg",LEXUS,0.984375,sports_car,0.348876953125
"88,000+_Images_of_Cars_6823.jpg",NISSAN,0.5986328125,suv,0.7958984375
"88,000+_Images_of_Cars_52915.jpg",FORD,0.35986328125,suv,0.5439453125
"88,000+_Images_of_Cars_25545.jpg",NISSAN,0.9765625,sports_car,0.97998046875
train_03301.jpg,NISSAN,0.81298828125,sports_car,0.8671875
"88,000+_Images_of_Cars_43818.jpg",CHEVROLET,0.73681640625,sports_car,0.93603515625
"88,000+_Images_of_Cars_23134.jpg",NISSAN,0.77197265625,suv,0.357421875
"88,000+_Images_of_Cars_34448.jpg",NISSAN,0.89306640625,suv,0.74560546875
train_07167.jpg,CHEVROLET,0.61328125,suv,0.57080078125
"88,000+_Images_of_Cars_37141.jpg",FIAT,0.97802734375,sports_car,0.61083984375
"88,000+_Images_of_Cars_38272.jpg",HONDA,0.56103515625,sports_car,0.98779296875
"88,000+_Images_of_Cars_66468.jpg",FORD,0.73046875,family_car,0.447998046875
"88,000+_Images_of_Cars_61307.jpg",CHEVROLET,0.96240234375,suv,0.5732421875
"88,000+_Images_of_Cars_78656.jpg",CHEVROLET,0.98291015625,sports_car,0.9716796875
"88,000+_Images_of_Cars_46960.jpg",CHEVROLET,0.304443359375,suv,0.48583984375
train_01516.jpg,ALFAROMEO,0.2861328125,sports_car,0.95361328125
"88,000+_Images_of_Cars_31530.jpg",HONDA,0.250732421875,family_car,0.83642578125
"88,000+_Images_of_Cars_77565.jpg",CHEVROLET,0.427978515625,suv,0.87939453125
"88,000+_Images_of_Cars_58586.jpg",FORD,0.8759765625,sports_car,0.59814453125
"88,000+_Images_of_Cars_59840.jpg",HYUNDAI,0.401611328125,sedan,0.63134765625
"88,000+_Images_of_Cars_67010.jpg",NISSAN,0.9765625,suv,0.76416015625
"88,000+_Images_of_Cars_41969.jpg",MAZDA,0.984375,hatchback,0.73388671875
"88,000+_Images_of_Cars_11186.jpg",CHEVROLET,0.72412109375,suv,0.75830078125
