image,brand,body_style
"88,000+_Images_of_Cars_24883.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_6823.jpg",NISSAN,suv
"88,000+_Images_of_Cars_52915.jpg",FORD,suv
"88,000+_Images_of_Cars_25545.jpg",NISSAN,sports_car
train_03301.jpg,NISSAN,sports_car
"88,000+_Images_of_Cars_43818.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_23134.jpg",NISSAN,suv
"88,000+_Images_of_Cars_34448.jpg",NISSAN,suv
train_07167.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_37141.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_38272.jpg",HONDA,sports_car
"88,000+_Images_of_Cars_66468.jpg",FORD,family_car
"88,000+_Images_of_Cars_61307.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_78656.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_46960.jpg",CHEVROLET,suv
train_01516.jpg,ALFAROMEO,sports_car
"88,000+_Images_of_Cars_31530.jpg",HONDA,family_car
"88,000+_Images_of_Cars_77565.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_58586.jpg",FORD,sports_car
"88,000+_Images_of_Cars_59840.jpg",HYUNDAI,sedan
"88,000+_Images_of_Cars_67010.jpg",NISSAN,suv
"88,000+_Images_of_Cars_41969.jpg",MAZDA,hatchback
"88,000+_Images_of_Cars_11186.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_28707.jpg",VOLVO,sports_car
"88,000+_Images_of_Cars_4952.jpg",HONDA,family_car
test_02834.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_30148.jpg",MAZDA,sports_car
"88,000+_Images_of_Cars_5494.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_65607.jpg",RENAULT,family_car
"88,000+_Images_of_Cars_75414.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_64519.jpg",MAZDA,sports_car
train_05016.jpg,ALFAROMEO,sports_car
"88,000+_Images_of_Cars_35030.jpg",MAZDA,sports_car
"88,000+_Images_of_Cars_13949.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_33455.jpg",FORD,suv
train_03473.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_13785.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_24129.jpg",KIA,family_car
"88,000+_Images_of_Cars_35024.jpg",CITROEN,sports_car
test_05197.jpg,HYUNDAI,sports_car
"88,000+_Images_of_Cars_18808.jpg",RENAULT,sports_car
"88,000+_Images_of_Cars_77217.jpg",VOLVO,suv
"88,000+_Images_of_Cars_27420.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_38500.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_38266.jpg",HYUNDAI,suv
"88,000+_Images_of_Cars_46974.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_83396.jpg",LEXUS,sedan
"88,000+_Images_of_Cars_59854.jpg",MAZDA,sports_car
"88,000+_Images_of_Cars_6837.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_25551.jpg",KIA,suv
"88,000+_Images_of_Cars_81581.jpg",CHEVROLET,sedan
"88,000+_Images_of_Cars_72409.jpg",RENAULT,sedan
"88,000+_Images_of_Cars_46784.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_57851.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_3967.jpg",ALFAROMEO,sedan
"88,000+_Images_of_Cars_30612.jpg",KIA,family_car
train_00634.jpg,OPEL,sports_car
"88,000+_Images_of_Cars_79574.jpg",CHEVROLET,sports_car
"88,000+_Images_of_Cars_56597.jpg",NISSAN,suv
"88,000+_Images_of_Cars_39150.jpg",OPEL,sports_car
"88,000+_Images_of_Cars_68479.jpg",KIA,hatchback
"88,000+_Images_of_Cars_64243.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_25579.jpg",HYUNDAI,sports_car
"88,000+_Images_of_Cars_496.jpg",FORD,suv
"88,000+_Images_of_Cars_54380.jpg",NISSAN,suv
test_00979.jpg,NISSAN,sports_car
"88,000+_Images_of_Cars_34474.jpg",CHEVROLET,sports_car
train_04334.jpg,RENAULT,sports_car
"88,000+_Images_of_Cars_9292.jpg",VOLVO,suv
"88,000+_Images_of_Cars_42284.jpg",CHEVROLET,hatchback
"88,000+_Images_of_Cars_87866.jpg",HONDA,family_car
test_07970.jpg,FORD,suv
"88,000+_Images_of_Cars_73059.jpg",LEXUS,sports_car
"88,000+_Images_of_Cars_39636.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_36505.jpg",KIA,sports_car
"88,000+_Images_of_Cars_18820.jpg",PEUGEOT,sports_car
"88,000+_Images_of_Cars_26716.jpg",CHEVROLET,family_car
"88,000+_Images_of_Cars_79212.jpg",CHEVROLET,sedan
"88,000+_Images_of_Cars_38528.jpg",NISSAN,suv
"88,000+_Images_of_Cars_50694.jpg",CITROEN,sports_car
"88,000+_Images_of_Cars_67038.jpg",KIA,sports_car
train_06537.jpg,CHEVROLET,family_car
"88,000+_Images_of_Cars_61449.jpg",KIA,family_car
"88,000+_Images_of_Cars_66326.jpg",KIA,sedan
"88,000+_Images_of_Cars_9286.jpg",RENAULT,sports_car
train_02989.jpg,VOLVO,hatchback
"88,000+_Images_of_Cars_52083.jpg",FIAT,sports_car
"88,000+_Images_of_Cars_87872.jpg",HONDA,family_car
"88,000+_Images_of_Cars_42290.jpg",HYUNDAI,hatchback
"88,000+_Images_of_Cars_33469.jpg",HYUNDAI,sedan
"88,000+_Images_of_Cars_13961.jpg",ALFAROMEO,sports_car
"88,000+_Images_of_Cars_64531.jpg",FORD,sports_car
"88,000+_Images_of_Cars_44187.jpg",HONDA,sports_car
"88,000+_Images_of_Cars_64257.jpg",FORD,suv
"88,000+_Images_of_Cars_54394.jpg",FIAT,hatchback
train_02037.jpg,FIAT,sports_car
"88,000+_Images_of_Cars_8826.jpg",CHEVROLET,suv
train_04446.jpg,ALFAROMEO,sports_car
"88,000+_Images_of_Cars_34460.jpg",MAZDA,suv
"88,000+_Images_of_Cars_65149.jpg",CHEVROLET,suv
"88,000+_Images_of_Cars_11810.jpg",HONDA,sports_car
train_00620.jpg,CHEVROLET,suv
"88,000+_Images_of_Cars_30606.jpg",NISSAN,sports_car
"88,000+_Images_of_Cars_28049.jpg",KIA,sedan
