brand,body_style,path_to_jpg,phase
HONDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_25074.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_67049.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_80153.jpg",train
NISSAN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_53926.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_79441.jpg",train
PEUGEOT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_85979.jpg",train
MAZDA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_65980.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_26410.jpg",train
NISSAN,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/SQ3HAB5BSNDP.jpg,train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_4915.jpg",train
KIA,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_02052.jpg,train
RENAULT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_02961.jpg,train
RENAULT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_05737.jpg,train
NISSAN,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_01262.jpg,train
HONDA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_85402.jpg",train
CHEVROLET,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/test_06211.jpg,train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_25434.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_22487.jpg",train
NISSAN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_77732.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_81132.jpg",train
HYUNDAI,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_62173.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_10315.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_74893.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59394.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59692.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_53479.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59735.jpg",train
FORD,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/test_02809.jpg,train
LEXUS,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_50514.jpg",train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_78607.jpg",train
CHEVROLET,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/test_07707.jpg,train
RENAULT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_07842.jpg,train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_10026.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_23102.jpg",train
HYUNDAI,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/test_03399.jpg,train
FIAT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_83414.jpg",train
OPEL,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_20505.jpg",train
HYUNDAI,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_52313.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_68721.jpg",train
FIAT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_06384.jpg,train
OPEL,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_49171.jpg",train
HYUNDAI,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_72175.jpg",train
OPEL,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_5138.jpg",train
RENAULT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_15720.jpg",train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_55057.jpg",train
ALFAROMEO,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_70041.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_7970.jpg",train
VOLVO,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_83734.jpg",train
HYUNDAI,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_11259.jpg",train
VOLVO,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_51888.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_2337.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_63117.jpg",train
MAZDA,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_81704.jpg",train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_2642.jpg",train
PEUGEOT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_31871.jpg",train
SKODA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_30714.jpg",train
ALFAROMEO,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_83804.jpg",train
HYUNDAI,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_16384.jpg",train
HYUNDAI,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/train_05515.jpg,train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_46795.jpg",train
KIA,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_31367.jpg",train
ALFAROMEO,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_2176.jpg",train
HONDA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_85549.jpg",train
KIA,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_03115.jpg,train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_22238.jpg",train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_76964.jpg",train
VOLVO,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_03734.jpg,train
KIA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_41179.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_43465.jpg",train
VOLVO,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_15602.jpg",train
OPEL,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_05920.jpg,train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_56186.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_2312.jpg",train
CHEVROLET,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_04049.jpg,train
OPEL,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_16967.jpg",train
HONDA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_62958.jpg",train
RENAULT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_73420.jpg",train
CHEVROLET,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_43757.jpg",train
NISSAN,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_65919.jpg",train
RENAULT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_63153.jpg",train
KIA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_84458.jpg",train
FORD,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_14039.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_3602.jpg",train
HYUNDAI,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_9347.jpg",train
KIA,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/890NFRSL8Z2X.jpg,train
CITROEN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_14038.jpg",train
NISSAN,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_72534.jpg",train
ALFAROMEO,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_07446.jpg,train
LEXUS,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_28098.jpg",train
KIA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_60137.jpg",train
PEUGEOT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_86524.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_7051.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_57983.jpg",train
VOLVO,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_69606.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_13927.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_6525.jpg",train
NISSAN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_48802.jpg",train
NISSAN,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59673.jpg",train
KIA,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_24134.jpg",train
HYUNDAI,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_72728.jpg",train
FORD,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_03622.jpg,train
FORD,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_50437.jpg",train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_24152.jpg",train
FORD,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_23559.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_81026.jpg",train
SKODA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_8992.jpg",train
FORD,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_05338.jpg,train
NISSAN,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_33761.jpg",train
FORD,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_05569.jpg,train
LEXUS,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_21005.jpg",train
FORD,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_83295.jpg",train
HONDA,family_car,Code/dataset/Data/DS2_confidence_and_brand_selected/CD8045EFQT0C.jpg,train
HONDA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_85219.jpg",train
KIA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_47949.jpg",train
PEUGEOT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_86162.jpg",train
KIA,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_77707.jpg",train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_48684.jpg",train
RENAULT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_01119.jpg,train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_11927.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_14188.jpg",train
LEXUS,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_78301.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_41483.jpg",train
MAZDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_8877.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59919.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_49524.jpg",train
FIAT,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_24226.jpg",train
NISSAN,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_69565.jpg",train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_36861.jpg",train
RENAULT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_14768.jpg",train
