brand,body_style,path_to_jpg,phase
KIA,sedan,Code/dataset/Data/DS2_confidence_and_brand_selected/train_02502.jpg,train
OPEL,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_30065.jpg",train
MAZDA,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_35017.jpg",train
HYUNDAI,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_6263.jpg",train
HONDA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_13335.jpg",train
KIA,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_27355.jpg",train
HYUNDAI,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_65019.jpg",train
KIA,hatchback,Code/dataset/Data/DS2_confidence_and_brand_selected/train_07843.jpg,train
MAZDA,hatchback,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_62807.jpg",train
VOLVO,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_20885.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_30375.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_11483.jpg",train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_62868.jpg",train
NISSAN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_63006.jpg",train
OPEL,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/test_00257.jpg,train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_75023.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_6064.jpg",train
LEXUS,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_35233.jpg",train
NISSAN,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_66710.jpg",train
RENAULT,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_05475.jpg,train
NISSAN,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_46726.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_55366.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_8224.jpg",train
RENAULT,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_9540.jpg",train
LEXUS,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_29064.jpg",train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_27797.jpg",train
CHEVROLET,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_15453.jpg",train
NISSAN,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_28825.jpg",train
HYUNDAI,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_73994.jpg",train
FORD,suv,Code/dataset/Data/DS2_confidence_and_brand_selected/test_01544.jpg,train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_6366.jpg",train
HYUNDAI,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_2353.jpg",train
KIA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_66804.jpg",train
NISSAN,sedan,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_21293.jpg",train
HYUNDAI,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/20U84FO0UK14.jpg,train
FIAT,sports_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_59775.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_34164.jpg",train
KIA,family_car,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_27552.jpg",train
OPEL,sports_car,Code/dataset/Data/DS2_confidence_and_brand_selected/train_04166.jpg,train
KIA,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_56641.jpg",train
CHEVROLET,suv,"Code/dataset/Data/DS2_confidence_and_brand_selected/88,000+_Images_of_Cars_77849.jpg",train
