brand,model,body_style,segment,title,path
ALFAROMEO,ALFA ROMEO Arna,Hatchback,Compact,1983 Alfa Romeo Arna,1983_Alfa_Romeo_Arna
ALFAROMEO,ALFA ROMEO 166,Sedan (four-door),Medium,2003 Alfa Romeo 166,2003_Alfa_Romeo_166
ALFAROMEO,ALFA ROMEO Stelvio 949,SUV (Sports Utility Vehicle),Medium SUV,2023 Alfa Romeo Stelvio,2023_Alfa_Romeo_Stelvio
ALFAROMEO,ALFA ROMEO 145,Hatchback,Compact,ALFA ROMEO 145 19942000,ALFA_ROMEO_145_19942000
ALFAROMEO,ALFA ROMEO 146,Hatchback,Compact,ALFA ROMEO 146 19952000,ALFA_ROMEO_146_19952000
ALFAROMEO,ALFA ROMEO 147 3 Doors,Hatchback,Small,ALFA ROMEO 147 3 Doors 20002005,ALFA_ROMEO_147_3_Doors_20002005
ALFAROMEO,ALFA ROMEO 147 3 Doors,Hatchback,Entry Premium,ALFA ROMEO 147 3 Doors 20052009,ALFA_ROMEO_147_3_Doors_20052009
ALFAROMEO,ALFA ROMEO 147 5 Doors,Hatchback,Compact,ALFA ROMEO 147 5 Doors 20002005,ALFA_ROMEO_147_5_Doors_20002005
ALFAROMEO,ALFA ROMEO 147 5 Doors,Hatchback,Compact,ALFA ROMEO 147 5 Doors 20052009,ALFA_ROMEO_147_5_Doors_20052009
ALFAROMEO,ALFA ROMEO 147 GTA,Hatchback,Compact,ALFA ROMEO 147 GTA 20032005,ALFA_ROMEO_147_GTA_20032005
ALFAROMEO,ALFA ROMEO 155,Sedan (four-door),Lower Premium,ALFA ROMEO 155 19921998,ALFA_ROMEO_155_19921998
ALFAROMEO,ALFA ROMEO 156,Sedan (four-door),Medium,ALFA ROMEO 156 19972003,ALFA_ROMEO_156_19972003
ALFAROMEO,ALFA ROMEO 156,Sedan (four-door),Medium,ALFA ROMEO 156 20032005,ALFA_ROMEO_156_20032005
ALFAROMEO,ALFA ROMEO 156 GTA,Sedan (four-door),Lower Premium,ALFA ROMEO 156 GTA 20012005,ALFA_ROMEO_156_GTA_20012005
ALFAROMEO,ALFA ROMEO 156 Sportwagon,"Wagon (station wagon, estate, combi, touring)",Small,ALFA ROMEO 156 Sportwagon 20002003,ALFA_ROMEO_156_Sportwagon_20002003
ALFAROMEO,ALFA ROMEO 156 Sportwagon,"Wagon (station wagon, estate, combi, touring)",Compact,ALFA ROMEO 156 Sportwagon 20032005,ALFA_ROMEO_156_Sportwagon_20032005
ALFAROMEO,ALFA ROMEO 156 Sportwagon GTA,"Wagon (station wagon, estate, combi, touring)",Medium,ALFA ROMEO 156 Sportwagon GTA 20022005,ALFA_ROMEO_156_Sportwagon_GTA_20022005
ALFAROMEO,ALFA ROMEO 159,Sedan (four-door),Medium,ALFA ROMEO 159 20052011,ALFA_ROMEO_159_20052011
ALFAROMEO,ALFA ROMEO 159 Sportwagon,"Wagon (station wagon, estate, combi, touring)",Medium,ALFA ROMEO 159 Sportwagon 20062011,ALFA_ROMEO_159_Sportwagon_20062011
ALFAROMEO,ALFA ROMEO 164,Sedan (four-door),Medium,ALFA ROMEO 164 19881998,ALFA_ROMEO_164_19881998
ALFAROMEO,ALFA ROMEO 166,Sedan (four-door),Medium,ALFA ROMEO 166 19962003,ALFA_ROMEO_166_19962003
ALFAROMEO,ALFA ROMEO 4C,Coup (two-door),Coupe Cabrio,ALFA ROMEO 4C 2013Present,ALFA_ROMEO_4C_2013Present
ALFAROMEO,ALFA ROMEO 4C Spider,"Convertible (spider/spyder, cabrio/cabriolet, drop/open/soft top)",Roadster & Convertible,ALFA ROMEO 4C Spider 2015Present,ALFA_ROMEO_4C_Spider_2015Present
ALFAROMEO,ALFA ROMEO 75,Sedan (four-door),Small,ALFA ROMEO 75 19851992,ALFA_ROMEO_75_19851992
ALFAROMEO,ALFA ROMEO 8C Competizione,Coup (two-door),Coupe,ALFA ROMEO 8C Competizione 20072009,ALFA_ROMEO_8C_Competizione_20072009
ALFAROMEO,ALFA ROMEO 8C Spider,Coup (two-door),Exotic,ALFA ROMEO 8C Spider 20082010,ALFA_ROMEO_8C_Spider_20082010
ALFAROMEO,ALFA ROMEO Brera,Coup (two-door),Coupe,ALFA ROMEO Brera 20052010,ALFA_ROMEO_Brera_20052010
ALFAROMEO,ALFA ROMEO Crosswagon Q4,"Wagon (station wagon, estate, combi, touring)",Medium Premium,ALFA ROMEO Crosswagon Q4 20042007,ALFA_ROMEO_Crosswagon_Q4_20042007
ALFAROMEO,ALFA ROMEO Giulia,Sedan (four-door),Compact,ALFA ROMEO Giulia 20162022,ALFA_ROMEO_Giulia_20162022
ALFAROMEO,ALFA ROMEO Giulia,Sedan (four-door),Compact,ALFA ROMEO Giulia 2022Present,ALFA_ROMEO_Giulia_2022Present
ALFAROMEO,ALFA ROMEO Giulia GTA,Hatchback,Compact,ALFA ROMEO Giulia GTA 2020Present,ALFA_ROMEO_Giulia_GTA_2020Present
ALFAROMEO,ALFA ROMEO Giulia Quadrifoglio,Sedan (four-door),Medium,ALFA ROMEO Giulia Quadrifoglio 2016Present,ALFA_ROMEO_Giulia_Quadrifoglio_2016Present
